id_cliente,nome,data_nascimento,data_subscricao,email,telemovel,distrito
1,"ABIMAEL CARDOSO",1968-04-06,2014-03-11,abimael.cardoso@exemplo.com,978801951,Aveiro
2,"ABNER CARVALHO",1977-03-19,2015-11-06,abner.carvalho@exemplo.com,907328148,Beja
3,"ABNER MAGALHAES",1968-04-03,2015-01-01,abner.magalhaes@exemplo.com,986408633,Braga
4,"ADAILDA SANTOS",1984-01-04,2012-12-07,adailda.santos@exemplo.com,942719137,Bragança
5,"ADAILTON ANICETO",1974-10-23,2013-11-19,adailton.aniceto@exemplo.com,983237013,"Castelo Branco"
6,"ADALBERTO SOUSA",1979-07-12,2013-03-14,adalberto.sousa@exemplo.com,933359662,Coimbra
7,"ADAO BOSCOLO",1972-09-03,2019-02-24,adao.boscolo@exemplo.com,937931456,Évora
8,"ADELINE GARCIA",1997-08-31,2016-11-02,adeline.garcia@exemplo.com,976119044,Faro
9,"ADELSON LOPES",1963-12-18,2010-01-05,adelson.lopes@exemplo.com,908303641,Guarda
10,"ADEMILDA LEITE",1982-06-16,2016-10-22,ademilda.leite@exemplo.com,956872006,Leiria
11,"ADEMILDA OLIVEIRA",1980-01-09,2017-03-28,ademilda.oliveira@exemplo.com,933738293,Lisboa
12,"ADEMILSON CRUZ",1986-01-05,2012-12-28,ademilson.cruz@exemplo.com,955222581,Portalegre
13,"ADEMILSON OLIVEIRA",1966-05-19,2010-03-30,ademilson.oliveira@exemplo.com,905621457,Porto
14,"ADEMIR DEODATO",1981-11-20,2019-08-17,ademir.deodato@exemplo.com,965290806,Santarém
15,"ADENILCE SANTOS",1961-01-28,2015-01-18,adenilce.santos@exemplo.com,981449669,Setúbal
16,"ADENILDE SILVA",1995-11-22,2010-12-25,adenilde.silva@exemplo.com,937280202,"Viana do Castelo"
17,"ADIA BOMFIM",1981-11-09,2012-06-30,adia.bomfim@exemplo.com,941061765,"Vila Real"
18,"ADILSON FERREIRA",1994-05-29,2012-07-30,adilson.ferreira@exemplo.com,972415033,Viseu
19,"ADILSON LOPES",1967-02-05,2018-05-21,adilson.lopes@exemplo.com,997583346,Aveiro
20,"ADIONI MELO",1985-12-03,2012-10-29,adioni.melo@exemplo.com,988773931,Beja
21,"ADJAELSO LIRA",1972-01-23,2011-06-01,adjaelso.lira@exemplo.com,977128902,Braga
22,"ADMILTON ROCHA",1968-12-28,2015-08-01,admilton.rocha@exemplo.com,921137142,Bragança
23,"ADNA MORAES",1962-05-27,2018-03-13,adna.moraes@exemplo.com,925253744,"Castelo Branco"
24,"ADOLFO SOUZA",1972-10-12,2010-10-03,adolfo.souza@exemplo.com,990261016,Coimbra
25,"ADRIANA ALMEIDA",1990-05-04,2014-08-23,adriana.almeida@exemplo.com,970457830,Évora
26,"ADRIANA ALVAREZ",1978-10-08,2010-10-15,adriana.alvarez@exemplo.com,920117538,Faro
27,"ADRIANA ARRUDA",1975-03-21,2017-11-28,adriana.arruda@exemplo.com,985548121,Guarda
28,"ADRIANA AUGUSTO",1980-09-06,2013-07-10,adriana.augusto@exemplo.com,945602129,Leiria
29,"ADRIANA BARBOSA",1979-12-06,2013-12-31,adriana.barbosa@exemplo.com,966556166,Lisboa
30,"ADRIANA BASTOS",1996-02-04,2015-12-16,adriana.bastos@exemplo.com,969884740,Portalegre
31,"ADRIANA BRANDAO",1992-05-02,2016-11-02,adriana.brandao@exemplo.com,936526434,Porto
32,"ADRIANA CARVALHO",1963-11-11,2012-06-04,adriana.carvalho@exemplo.com,966685335,Santarém
33,"ADRIANA CENEVIVA",1969-06-30,2010-08-11,adriana.ceneviva@exemplo.com,959161355,Setúbal
34,"ADRIANA CONCEICAO",1985-12-16,2014-03-28,adriana.conceicao@exemplo.com,924051854,"Viana do Castelo"
35,"ADRIANA COSTA",1976-12-24,2012-08-28,adriana.costa@exemplo.com,918178889,"Vila Real"
36,"ADRIANA CUNHA",1989-01-09,2017-07-18,adriana.cunha@exemplo.com,908136977,Viseu
37,"ADRIANA CUSTODIO",1969-02-11,2019-09-15,adriana.custodio@exemplo.com,918786343,Aveiro
38,"ADRIANA DOMINGUES",1967-03-11,2016-07-17,adriana.domingues@exemplo.com,942936030,Beja
39,"ADRIANA ESTEVAM",1975-06-30,2013-05-28,adriana.estevam@exemplo.com,965823540,Braga
40,"ADRIANA FERREIRA",1971-02-23,2012-02-13,adriana.ferreira@exemplo.com,987764967,Bragança
41,"ADRIANA FRAGA",1981-01-07,2017-10-04,adriana.fraga@exemplo.com,918507511,"Castelo Branco"
42,"ADRIANA GARCIA",1999-10-02,2014-11-10,adriana.garcia@exemplo.com,925150498,Coimbra
43,"ADRIANA GIMENES",1977-04-07,2016-08-19,adriana.gimenes@exemplo.com,971497145,Évora
44,"ADRIANA GONCALVES",1977-04-22,2011-08-03,adriana.goncalves@exemplo.com,967153281,Faro
45,"ADRIANA HERENY",1981-11-24,2012-01-28,adriana.hereny@exemplo.com,917072892,Guarda
46,"ADRIANA LEITAO",1980-02-13,2015-09-18,adriana.leitao@exemplo.com,927501938,Leiria
47,"ADRIANA LEONE",1980-01-04,2014-04-12,adriana.leone@exemplo.com,934670044,Lisboa
48,"ADRIANA LIMA",1995-04-05,2017-05-02,adriana.lima@exemplo.com,906541372,Portalegre
49,"ADRIANA LIRA",1994-01-05,2011-06-04,adriana.lira@exemplo.com,928180411,Porto
50,"ADRIANA LOFFEL",1974-05-10,2017-04-27,adriana.loffel@exemplo.com,930063580,Santarém
